"target","latin","match"
"Saxifraga.undiff.",NA,NA
"Saxifragaceae",NA,NA
"Scrophulariaceae",NA,NA
"Secale",NA,NA
"Secale.cereale",NA,NA
"Secale.type",NA,NA
"Selaginella",NA,NA
"Selaginella.selaginoides",NA,NA
"Sellaginella",NA,NA
"Sellaginella.sp.",NA,NA
"Sellaginella.t.",NA,NA
"Shepherdia","Deciduae","Other hardwood"
"Shepherdia.argentea","Deciduae","Other hardwood"
"Shepherdia.canadensis","Deciduae","Other hardwood"
"Shrub.pollen",NA,NA
"Sisyrhincium.t.",NA,NA
"Sisyrinchium",NA,NA
"site.id",NA,NA
"site.name",NA,NA
"Sium",NA,NA
"Sium.t.",NA,NA
"Slx",NA,NA
"Smilax",NA,NA
"Solanaceae",NA,NA
"Sparganium",NA,NA
"Sparganium.t.",NA,NA
"Sparganium.type",NA,NA
"Spermatophyta.undiff...aquatics.",NA,NA
"Spermatophyta.undiff...shrubs.",NA,NA
"Spermatophyta.undiff...trees.",NA,NA
"Sphagnum",NA,NA
"Spiraea.type",NA,NA
"Sporormiella",NA,NA
"Stachys",NA,NA
"Stachys.type",NA,NA
"Stellaria",NA,NA
"Stellaria.type",NA,NA
"Suaeda",NA,NA
"Symplocarpus",NA,NA
"Taxodium",NA,NA
"Taxodium.t.",NA,NA
"Taxodium.t..papilate",NA,NA
"Taxus",NA,NA
"Taxus.t.",NA,NA
"Tetrads",NA,NA
"Thali",NA,NA
"Thalictrum",NA,NA
"Thelypteris.palustris",NA,NA
"Thuja",NA,NA
"Thuja.Juniperus",NA,NA
"Tilia","Deciduae","Other hardwood"
"Tilia.americana","Deciduae","Other hardwood"
"Tilletia",NA,NA
"Toxicodendron.radicans",NA,NA
"Tradescantia",NA,NA
"Tree.pollen",NA,NA
"tree.shrub",NA,NA
"trees.and.shrubs",NA,NA
"Trifolium",NA,NA
"Trifolium.t.",NA,NA
"Trifolium.type",NA,NA
"Trilete.spore",NA,NA
"Trilete.spores.undiff",NA,NA
"Trilete.unk",NA,NA
"Trilete.unknown",NA,NA
"Trillium",NA,NA
"Triticum",NA,NA
"Triticum.t.",NA,NA
"Tsuga","Tsuga","Hemlock"
"Tsuga.canadensis","Tsuga","Hemlock"
"Tubuliflorae",NA,NA
"Ty.Sp",NA,NA
"Typha",NA,NA
"Typha..tetrad.",NA,NA
"Typha.angustifolia",NA,NA
"Typha.latifolia",NA,NA
"Typha.latifolia.type",NA,NA
"Typha.Sparganium",NA,NA
"Typha.Sparganium.undiff.",NA,NA
"Typha.Sparganiumt.",NA,NA
"Typha.undiff.",NA,NA
"Ulm",NA,NA
"Ulmus","Ulmus","Elm"
"Ulota",NA,NA
"umbelliferae",NA,NA
"Umbelliferae",NA,NA
"Unidentified",NA,NA
"UNIDENTIFIED",NA,NA
"unk",NA,NA
"Unknown",NA,NA
"Unknown..alete.",NA,NA
"Unknown..monolete.",NA,NA
"Unknown..monolete..undiff.",NA,NA
"Unknown..trilete.",NA,NA
"Unknown..trilete..undiff.",NA,NA
"Unknown.Indeterminable",NA,NA
"Unknown.pollen.spore.NISP",NA,NA
"Unknown.spore.NISP",NA,NA
"Unknown.undiff.",NA,NA
"Urtica",NA,NA
"Urtica.spp",NA,NA
"Urtica.spp.",NA,NA
"Urtica.type",NA,NA
"Urticaceae",NA,NA
"Urticaceae.Moraceae","Deciduae","Other hardwood"
"Urticales",NA,NA
"Utricularia",NA,NA
"Utricularia.t.",NA,NA
"Vaccinium",NA,NA
"Valeriana",NA,NA
"Verbena",NA,NA
"Verbenaceae",NA,NA
"Vesciculate.conif",NA,NA
"vesiculate.conif",NA,NA
"Vesiculate.conif.",NA,NA
"Viburnum",NA,NA
"Vicia.type",NA,NA
"Viola",NA,NA
"Violaceae",NA,NA
"Vitaceae",NA,NA
"Vitis",NA,NA
"VItis",NA,NA
"Vitis.riparia",NA,NA
"Volume..cc.",NA,NA
"Woodsia",NA,NA
"Woodsia.type",NA,NA
"X",NA,NA
"X.1",NA,NA
"Xanthium",NA,NA
"Xanthium.t.",NA,NA
"Xyris",NA,NA
"Zea",NA,NA
"Zea.mays",NA,NA
